epoch,batch,all,hit
0,0,2.485756,0.0469
0,6400,1.993344,0.4062
0,12800,1.917593,0.3125
0,19200,2.085681,0.3594
0,25600,2.061001,0.3594
0,32000,1.875951,0.3750
0,38400,2.032317,0.3125
0,44800,1.946106,0.3281
0,51200,2.057791,0.3125
0,57600,1.778293,0.3750
0,64000,1.838079,0.3281
0,70400,1.855170,0.3281
0,76800,1.695636,0.4219
0,83200,1.559788,0.4219
0,89600,2.091720,0.2500
0,96000,2.053651,0.3125
0,102400,1.990235,0.2812
0,108800,1.915530,0.2656
0,115200,1.919564,0.2656
0,121600,1.968061,0.2812
0,128000,1.808849,0.4062
0,134400,1.665155,0.4219
0,140800,1.866329,0.3281
0,147200,1.795496,0.3438
0,153600,1.885465,0.3750
0,160000,1.934590,0.3594
0,166400,2.114246,0.2812
0,172800,2.051598,0.2656
0,179200,1.747334,0.3750
0,185600,1.627969,0.4688
0,192000,1.618084,0.4219
0,198400,1.661469,0.4219
0,204800,1.729052,0.4375
0,211200,1.872323,0.3438
1,0,1.897189,0.3438
1,6400,1.859446,0.2812
1,12800,2.125357,0.3438
1,19200,1.780931,0.3750
1,25600,1.803597,0.3281
1,32000,1.965685,0.3281
1,38400,1.949813,0.2969
1,44800,1.964171,0.3438
1,51200,1.853537,0.3438
1,57600,1.784342,0.3750
1,64000,1.843174,0.3438
1,70400,1.790843,0.3594
1,76800,1.935664,0.3125
1,83200,1.902892,0.3125
1,89600,2.043048,0.3125
1,96000,1.791442,0.3750
1,102400,1.763713,0.3281
1,108800,1.799835,0.3906
1,115200,1.660826,0.3281
1,121600,1.855671,0.3594
1,128000,1.893502,0.3906
1,134400,1.660788,0.4531
1,140800,1.998531,0.2969
1,147200,1.868841,0.2969
1,153600,1.827655,0.3125
1,160000,1.831510,0.3438
1,166400,1.793105,0.4531
1,172800,1.664889,0.4062
1,179200,1.746988,0.4219
1,185600,2.036031,0.2656
1,192000,1.847284,0.4062
1,198400,1.653817,0.3750
1,204800,1.752723,0.4062
1,211200,1.721602,0.4219
2,0,1.860993,0.3750
2,6400,1.611375,0.4531
2,12800,1.781123,0.4375
2,19200,1.800703,0.3750
2,25600,1.749413,0.3750
2,32000,1.802751,0.3594
2,38400,1.618040,0.4062
2,44800,1.723488,0.3750
2,51200,1.780243,0.3438
2,57600,1.817087,0.2812
2,64000,1.966381,0.3438
2,70400,1.931324,0.3750
2,76800,2.022527,0.2656
2,83200,1.727545,0.2969
2,89600,1.769798,0.3906
2,96000,1.896229,0.3281
2,102400,1.811644,0.4219
2,108800,1.568554,0.5156
2,115200,1.674212,0.3906
2,121600,1.808411,0.3125
2,128000,1.934310,0.2812
2,134400,1.881982,0.3750
2,140800,1.886224,0.3281
2,147200,1.826471,0.3750
2,153600,1.914832,0.2812
2,160000,1.831463,0.3594
2,166400,1.715912,0.3281
2,172800,2.042122,0.3125
2,179200,2.199484,0.2969
2,185600,1.871425,0.4062
2,192000,1.866366,0.3750
2,198400,1.713217,0.4219
2,204800,1.974457,0.2969
2,211200,1.882690,0.3438
3,0,1.851781,0.3594
3,6400,1.842462,0.3281
3,12800,2.058774,0.2500
3,19200,1.722700,0.3750
3,25600,1.964690,0.2812
3,32000,1.799675,0.3906
3,38400,1.802676,0.3906
3,44800,1.950173,0.3438
3,51200,2.009775,0.3438
3,57600,1.766821,0.4531
3,64000,2.096710,0.2344
3,70400,1.706973,0.5312
3,76800,1.802499,0.3750
3,83200,1.904714,0.3281
3,89600,1.954315,0.3438
3,96000,1.750051,0.3438
3,102400,1.645721,0.4062
3,108800,1.799354,0.4531
3,115200,1.666078,0.4688
3,121600,1.779766,0.3594
3,128000,2.001241,0.2500
3,134400,1.966696,0.3594
3,140800,1.673882,0.5156
3,147200,1.879283,0.3281
3,153600,2.040214,0.2969
3,160000,1.889033,0.2812
3,166400,1.947063,0.3125
3,172800,1.987902,0.3125
3,179200,1.762519,0.4062
3,185600,1.834227,0.3750
3,192000,1.931301,0.4062
3,198400,1.817010,0.3438
3,204800,1.776994,0.3906
3,211200,1.824802,0.4531
4,0,1.870568,0.3438
4,6400,1.860630,0.2812
4,12800,1.688190,0.4531
4,19200,1.744425,0.3750
4,25600,1.955147,0.3281
4,32000,1.783597,0.3906
4,38400,1.926887,0.2969
4,44800,1.615027,0.4688
4,51200,1.908323,0.3281
4,57600,1.508980,0.4062
4,64000,1.858567,0.3438
4,70400,1.705212,0.4062
4,76800,1.944804,0.3281
4,83200,1.855631,0.3438
4,89600,1.882741,0.3594
4,96000,1.719077,0.3750
4,102400,1.689292,0.3750
4,108800,1.804494,0.4062
4,115200,1.577498,0.4531
4,121600,1.675446,0.4219
4,128000,2.010771,0.3438
4,134400,1.642592,0.4688
4,140800,1.862286,0.3125
4,147200,1.759580,0.3281
4,153600,1.903876,0.3281
4,160000,1.896350,0.2969
4,166400,1.769459,0.4062
4,172800,1.667890,0.3906
4,179200,1.669134,0.4844
4,185600,1.861255,0.3594
4,192000,1.587069,0.4219
4,198400,1.719771,0.4219
4,204800,1.788232,0.3594
4,211200,1.676266,0.4531
5,0,1.814511,0.3594
5,6400,1.709953,0.4219
5,12800,1.701181,0.4062
5,19200,1.651273,0.4688
5,25600,1.796846,0.4375
5,32000,1.841530,0.4688
5,38400,1.881312,0.2812
5,44800,1.715898,0.4062
5,51200,1.622092,0.4688
5,57600,1.686663,0.4062
5,64000,1.960237,0.2500
5,70400,1.889883,0.2656
5,76800,1.680645,0.3438
5,83200,2.012402,0.2344
5,89600,1.909228,0.2812
5,96000,1.974985,0.2656
5,102400,1.732026,0.4219
5,108800,1.823598,0.3281
5,115200,1.916577,0.3750
5,121600,1.907360,0.2812
5,128000,2.041686,0.3125
5,134400,1.723046,0.3906
5,140800,1.727386,0.3750
5,147200,1.705183,0.4219
5,153600,1.645040,0.3438
5,160000,1.774266,0.3438
5,166400,1.937058,0.3750
5,172800,1.862567,0.3750
5,179200,1.665513,0.3906
5,185600,1.706110,0.4531
5,192000,1.828310,0.3750
5,198400,2.051828,0.2812
5,204800,1.684741,0.4375
5,211200,1.713457,0.4219
6,0,1.759323,0.3281
6,6400,1.842877,0.3438
6,12800,1.829677,0.3438
6,19200,1.938417,0.3281
6,25600,1.580477,0.4375
6,32000,1.854561,0.3750
6,38400,1.526648,0.4219
6,44800,1.728341,0.4062
6,51200,1.650192,0.4375
6,57600,1.698526,0.3594
6,64000,1.782022,0.3750
6,70400,1.677765,0.4375
6,76800,1.848584,0.2969
6,83200,1.771708,0.4688
6,89600,1.881178,0.3750
6,96000,1.875153,0.3594
6,102400,1.768114,0.4375
6,108800,1.859420,0.3750
6,115200,1.687027,0.3906
6,121600,1.691846,0.3906
6,128000,1.752349,0.3906
6,134400,1.910779,0.4219
6,140800,1.536788,0.4219
6,147200,1.610600,0.3750
6,153600,1.653856,0.3438
6,160000,1.577293,0.4375
6,166400,1.647179,0.4219
6,172800,1.745781,0.4062
6,179200,1.844663,0.3281
6,185600,2.017782,0.3125
6,192000,1.914115,0.3281
6,198400,1.819581,0.4531
6,204800,1.779601,0.3438
6,211200,1.923407,0.3594
7,0,1.802828,0.4062
7,6400,1.975598,0.3438
7,12800,1.647570,0.4531
7,19200,1.932884,0.3125
7,25600,1.714619,0.3594
7,32000,1.856853,0.4062
7,38400,1.768883,0.3750
7,44800,1.913376,0.4062
7,51200,1.807512,0.4062
7,57600,1.904652,0.3281
7,64000,1.798880,0.3750
7,70400,1.633887,0.4062
7,76800,1.551301,0.5156
7,83200,1.703136,0.3906
7,89600,1.813419,0.3906
7,96000,1.696578,0.4062
7,102400,1.655930,0.4219
7,108800,1.786853,0.3750
7,115200,1.891081,0.3281
7,121600,1.793839,0.3750
7,128000,2.030511,0.3125
7,134400,1.601667,0.4531
7,140800,1.895672,0.3438
7,147200,1.808678,0.3906
7,153600,1.934177,0.2656
7,160000,1.889265,0.4219
7,166400,1.602234,0.5156
7,172800,1.740398,0.4062
7,179200,1.594624,0.4375
7,185600,1.794852,0.3594
7,192000,1.997408,0.2188
7,198400,1.750283,0.4219
7,204800,1.738854,0.3750
7,211200,1.874998,0.3281
8,0,1.992576,0.2500
8,6400,1.797165,0.4219
8,12800,1.902711,0.3438
8,19200,1.537984,0.5312
8,25600,1.807409,0.3906
8,32000,1.629744,0.4844
8,38400,1.678585,0.3750
8,44800,1.839084,0.4062
8,51200,1.763970,0.3906
8,57600,1.598429,0.4062
8,64000,1.860520,0.3750
8,70400,1.572304,0.4531
8,76800,1.774078,0.3438
8,83200,1.955995,0.2812
8,89600,1.696717,0.4688
8,96000,1.745845,0.3594
8,102400,1.899271,0.3281
8,108800,2.038695,0.2812
8,115200,1.914988,0.3906
8,121600,1.870327,0.3438
8,128000,1.780904,0.3438
8,134400,1.654603,0.4219
8,140800,1.696817,0.4219
8,147200,1.707723,0.4219
8,153600,1.849656,0.3281
8,160000,2.005743,0.2656
8,166400,1.728085,0.3594
8,172800,1.920797,0.3125
8,179200,1.904518,0.2656
8,185600,1.901289,0.2969
8,192000,1.971892,0.3281
8,198400,1.745118,0.3750
8,204800,1.929233,0.2969
8,211200,1.699493,0.3750
9,0,1.733774,0.4375
9,6400,1.712207,0.4062
9,12800,1.826631,0.3438
9,19200,1.476505,0.5000
9,25600,1.816173,0.2812
9,32000,1.884372,0.2969
9,38400,1.643685,0.4219
9,44800,1.731843,0.3438
9,51200,1.475837,0.4688
9,57600,1.766995,0.4062
9,64000,1.613077,0.3906
9,70400,1.639274,0.4375
9,76800,1.741022,0.3906
9,83200,1.785307,0.2812
9,89600,1.634886,0.5156
9,96000,1.708641,0.4219
9,102400,1.971659,0.2812
9,108800,2.000235,0.3125
9,115200,1.997390,0.2969
9,121600,2.024614,0.2656
9,128000,1.590841,0.4688
9,134400,1.936883,0.2812
9,140800,1.825189,0.3750
9,147200,1.808933,0.3594
9,153600,1.796988,0.3438
9,160000,1.781249,0.3750
9,166400,1.808305,0.3750
9,172800,1.855292,0.3438
9,179200,1.768822,0.3594
9,185600,1.799711,0.3594
9,192000,1.797991,0.4062
9,198400,1.643386,0.4062
9,204800,1.794337,0.3594
9,211200,1.742563,0.4219
10,0,1.762699,0.3906
10,6400,1.765979,0.3906
10,12800,1.716614,0.4062
10,19200,1.740205,0.3906
10,25600,1.643705,0.4219
10,32000,1.810772,0.3281
10,38400,1.786519,0.3125
10,44800,1.863575,0.3594
10,51200,1.729362,0.3594
10,57600,1.622763,0.4219
10,64000,1.909120,0.3438
10,70400,1.805410,0.3594
10,76800,1.888413,0.3125
10,83200,1.624963,0.4219
10,89600,1.687884,0.5312
10,96000,1.872020,0.3125
10,102400,1.993479,0.3594
10,108800,1.720933,0.4531
10,115200,1.675302,0.3750
10,121600,1.475656,0.4844
10,128000,1.607671,0.3906
10,134400,1.738942,0.3750
10,140800,1.684975,0.4844
10,147200,1.749252,0.3906
10,153600,1.762364,0.4531
10,160000,1.906062,0.3594
10,166400,1.473622,0.5156
10,172800,1.896031,0.3750
10,179200,1.738151,0.3438
10,185600,2.032385,0.3594
10,192000,1.658554,0.3750
10,198400,1.787724,0.4219
10,204800,1.694301,0.4531
10,211200,1.704034,0.4531
11,0,1.839425,0.3594
11,6400,1.856567,0.4219
11,12800,1.669395,0.3906
11,19200,1.642740,0.4219
11,25600,1.762370,0.4531
11,32000,1.644489,0.3906
11,38400,1.652443,0.3750
11,44800,1.754188,0.3750
11,51200,1.813370,0.2969
11,57600,1.588663,0.4688
11,64000,1.682350,0.3281
11,70400,1.608341,0.3906
11,76800,1.836495,0.3594
11,83200,1.648842,0.4531
11,89600,1.847951,0.3281
11,96000,1.781977,0.3906
11,102400,1.852639,0.3281
11,108800,1.971212,0.2500
11,115200,1.902340,0.3438
11,121600,1.744060,0.3906
11,128000,1.810351,0.3906
11,134400,1.818517,0.3281
11,140800,1.866549,0.3906
11,147200,1.593138,0.4219
11,153600,1.883901,0.3750
11,160000,1.741184,0.3750
11,166400,1.785862,0.3438
11,172800,1.561963,0.4531
11,179200,1.903368,0.3750
11,185600,1.842929,0.3750
11,192000,1.834932,0.3750
11,198400,1.857249,0.3281
11,204800,1.693948,0.4062
11,211200,1.683971,0.3594
12,0,1.631457,0.3906
12,6400,1.800415,0.3594
12,12800,1.681778,0.3438
12,19200,1.573759,0.4219
12,25600,1.829460,0.2812
12,32000,1.791105,0.3906
12,38400,1.650801,0.3750
